query,x[m],y[m],z[m],th[deg],ph[deg],query_pix,dilated_pix,lapse time[ms]
0,\workspa,e\UMap\S,N\gazebo,am\que,\query,0,0,729
DB No.,x[m],y[m],z[m],th[deg],ph[deg],A,B,Bcon,C,D,E,Econ,F,sim_index,SPV_and,SPV_in, SPV_db 
0057669,-002.800,-001.600,0000.200,0000.0,0000.0,0,0,0,0,4162,26129,15532,31149,0,0,0,0
0057670,-002.600,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3634,24746,14528,33060,0,0,0,0
0057671,-002.400,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3572,25850,15237,32018,0,0,0,0
0057672,-002.200,-001.600,0000.200,0000.0,0000.0,0,0,0,0,4138,27799,16787,29503,0,0,0,0
0057673,-002.000,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3570,25258,14780,32612,0,0,0,0
0057674,-001.800,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3563,24031,14011,33846,0,0,0,0
0057675,-001.600,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3861,26446,15413,31133,0,0,0,0
0057676,-001.400,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3894,29007,17424,28539,0,0,0,0
0057677,-001.200,-001.600,0000.200,0000.0,0000.0,0,0,0,0,4184,29196,17857,28060,0,0,0,0
0057678,-001.000,-001.600,0000.200,0000.0,0000.0,0,0,0,0,4088,30804,18334,26548,0,0,0,0
0057679,-000.800,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3750,30930,18915,26760,0,0,0,0
0057680,-000.600,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3336,27399,16505,30705,0,0,0,0
0057681,-000.400,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3156,28360,16843,29924,0,0,0,0
0057682,-000.200,-001.600,0000.200,0000.0,0000.0,0,0,0,0,3309,31588,18169,26543,0,0,0,0
0057683,-000.000,-001.600,0000.200,0000.0,0000.0,0,0,0,0,2902,30049,16948,28489,0,0,0,0
0057684,0000.200,-001.600,0000.200,0000.0,0000.0,0,0,0,0,2401,27868,15672,31171,0,0,0,0
0057685,0000.400,-001.600,0000.200,0000.0,0000.0,0,0,0,0,2067,23070,12829,36303,0,0,0,0
0057686,0000.600,-001.600,0000.200,0000.0,0000.0,0,0,0,0,2061,23886,13155,35493,0,0,0,0
0057687,0000.800,-001.600,0000.200,0000.0,0000.0,0,0,0,0,2097,22955,12598,36388,0,0,0,0
0057688,0001.000,-001.600,0000.200,0000.0,0000.0,0,0,0,0,1716,19699,10720,40025,0,0,0,0
0057689,0001.200,-001.600,0000.200,0000.0,0000.0,0,0,0,0,1586,19069,10275,40785,0,0,0,0
0057690,0001.400,-001.600,0000.200,0000.0,0000.0,0,0,0,0,1720,19614,10542,40106,0,0,0,0
0057691,0001.600,-001.600,0000.200,0000.0,0000.0,0,0,0,0,1722,19283,10361,40435,0,0,0,0
0057692,0001.800,-001.600,0000.200,0000.0,0000.0,0,0,0,0,1534,17882,9688,42024,0,0,0,0
0057693,0002.000,-001.600,0000.200,0000.0,0000.0,0,0,0,0,1514,16414,9005,43512,0,0,0,0
0057694,-010.000,-001.400,0000.200,0000.0,0000.0,0,0,0,0,5959,29715,18532,25766,0,0,0,0
0057695,-009.800,-001.400,0000.200,0000.0,0000.0,0,0,0,0,5484,27738,17313,28218,0,0,0,0
0057696,-009.600,-001.400,0000.200,0000.0,0000.0,0,0,0,0,5792,29267,18270,26381,0,0,0,0
0057697,-009.400,-001.400,0000.200,0000.0,0000.0,0,0,0,0,5418,30579,18904,25443,0,0,0,0
0057698,-009.200,-001.400,0000.200,0000.0,0000.0,0,0,0,0,5419,28556,17745,27465,0,0,0,0
0057699,-009.000,-001.400,0000.200,0000.0,0000.0,0,0,0,0,5383,28607,17528,27450,0,0,0,0
0057700,-008.800,-001.400,0000.200,0000.0,0000.0,0,0,0,0,5204,30683,18757,25553,0,0,0,0
0057701,-008.600,-001.400,0000.200,0000.0,0000.0,0,0,0,0,4968,29840,18142,26632,0,0,0,0
0057702,-008.400,-001.400,0000.200,0000.0,0000.0,0,0,0,0,5159,29548,17944,26733,0,0,0,0
0057703,-008.200,-001.400,0000.200,0000.0,0000.0,0,0,0,0,4638,28856,17704,27946,0,0,0,0
0057704,-008.000,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3988,29494,17367,27958,0,0,0,0
0057705,-007.800,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3556,28045,16429,29839,0,0,0,0
0057706,-007.600,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3641,26477,15336,31322,0,0,0,0
0057707,-007.400,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3421,25216,14732,32803,0,0,0,0
0057708,-007.200,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3492,25164,14572,32784,0,0,0,0
0057709,-007.000,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3463,25395,14706,32582,0,0,0,0
0057710,-006.800,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3760,26199,15158,31481,0,0,0,0
0057711,-006.600,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3553,25254,14794,32633,0,0,0,0
0057712,-006.400,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3664,26388,15463,31388,0,0,0,0
0057713,-006.200,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3798,26709,15401,30933,0,0,0,0
0057714,-006.000,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3745,27118,15536,30577,0,0,0,0
0057715,-005.800,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3625,26784,15280,31031,0,0,0,0
0057716,-005.600,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3729,25100,14412,32611,0,0,0,0
0057717,-005.400,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3443,25555,14650,32442,0,0,0,0
0057718,-005.200,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3620,25695,14467,32125,0,0,0,0
0057719,-005.000,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3766,25575,14530,32099,0,0,0,0
0057720,-004.800,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3567,24212,13828,33661,0,0,0,0
0057721,-004.600,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3387,24851,14495,33202,0,0,0,0
0057722,-004.400,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3349,24195,14080,33896,0,0,0,0
0057723,-004.200,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3655,24906,14454,32879,0,0,0,0
0057724,-004.000,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3608,25771,15004,32061,0,0,0,0
0057725,-003.800,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3229,22494,13006,35717,0,0,0,0
0057726,-003.600,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3674,25332,14638,32434,0,0,0,0
0057727,-003.400,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3737,26193,15084,31510,0,0,0,0
0057728,-003.200,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3688,25795,14935,31957,0,0,0,0
0057729,-003.000,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3791,25820,15175,31829,0,0,0,0
0057730,-002.800,-001.400,0000.200,0000.0,0000.0,0,0,0,0,4367,25951,15460,31122,0,0,0,0
0057731,-002.600,-001.400,0000.200,0000.0,0000.0,0,0,0,0,4748,28005,17119,28687,0,0,0,0
0057732,-002.400,-001.400,0000.200,0000.0,0000.0,0,0,0,0,4553,26727,16314,30160,0,0,0,0
0057733,-002.200,-001.400,0000.200,0000.0,0000.0,0,0,0,0,4051,25124,15119,32265,0,0,0,0
0057734,-002.000,-001.400,0000.200,0000.0,0000.0,0,0,0,0,4025,26553,15759,30862,0,0,0,0
0057735,-001.800,-001.400,0000.200,0000.0,0000.0,0,0,0,0,4086,27420,16457,29934,0,0,0,0
0057736,-001.600,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3818,27798,16805,29824,0,0,0,0
0057737,-001.400,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3873,27787,16636,29780,0,0,0,0
0057738,-001.200,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3890,29397,17358,28153,0,0,0,0
0057739,-001.000,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3257,26803,15732,31380,0,0,0,0
0057740,-000.800,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3452,29559,17276,28429,0,0,0,0
0057741,-000.600,-001.400,0000.200,0000.0,0000.0,0,0,0,0,3383,30860,17972,27197,0,0,0,0
0057742,-000.400,-001.400,0000.200,0000.0,0000.0,0,0,0,0,2903,27629,15758,30908,0,0,0,0
