DB No.,n_d[i],d_u,d_u_d_v 
0057934,0.00453244,0.029881,0.0745439
0057935,0.00453244,0.098248,0.0978019
0057936,0.00453244,0.0856616,0.0815982
0057937,0.00453244,0.0907675,0.112901
0057938,1.32152e-06,0.166314,0.140177
0057939,1.32152e-06,0.146383,0.124654
0057940,1.32152e-06,0.146592,0.125143
0057941,1.32152e-06,0.167816,0.152017
0057942,1.32152e-06,0.164281,0.141246
0057943,1.32152e-06,0.169653,0.14105
0057944,1.32152e-06,0.14344,0.113372
0057945,1.32152e-06,0.145611,0.116445
0057946,1.32152e-06,0.15735,0.137258
0057947,1.32152e-06,0.14978,0.160541
0057948,1.32152e-06,0.155816,0.131691
0057949,1.32152e-06,0.140579,0.102223
0057950,1.32152e-06,0.146785,0.115402
0057951,1.32152e-06,0.161888,0.108758
0057952,1.32152e-06,0.158239,0.347767
0057953,1.32152e-06,0.157749,0.331929
0057954,1.32152e-06,0.151977,0.320943
0057955,1.32152e-06,0.167942,0.32593
0057956,1.32152e-06,0.154401,0.342014
0057957,1.32152e-06,0.164871,0.39716
0057958,1.32152e-06,0.159118,0.340654
0057959,1.32152e-06,0.159074,0.322782
0057960,1.32152e-06,0.17118,0.339714
0057961,1.32152e-06,0.172181,0.376135
0057962,1.32152e-06,0.172455,0.343207
0057963,1.32152e-06,0.169232,0.364966
0057964,1.32152e-06,0.150366,0.33037
0057965,1.32152e-06,0.136463,0.384757
0057966,1.32152e-06,0.155783,0.335858
0057967,1.32152e-06,0.157449,0.334167
0057968,1.32152e-06,0.13291,0.356598
0057969,1.32152e-06,0.132241,0.356062
0057970,1.32152e-06,0.137697,0.335854
0057971,1.32152e-06,0.138973,0.339837
0057972,1.32152e-06,0.132745,0.324655
0057973,1.32152e-06,0.135847,0.323091
0057974,1.32231e-06,0.140877,0.357459
0057975,3.75807e-05,0.140839,0.370918
0057976,0.0305582,0.186373,0.351967
0057977,0.471653,0.631238,0.327687
0057978,0.13334,0.306658,0.336782
0057979,0.000691741,0.183514,0.361961
0057980,1.387e-06,0.146632,0.381218
0057981,1.32152e-06,0.132509,0.371904
0057982,1.32152e-06,0.136225,0.370427
0057983,1.32152e-06,0.138816,0.373344
0057984,1.32152e-06,0.149818,0.346016
0057985,1.32152e-06,0.143583,0.391839
0057986,1.32152e-06,0.163117,0.352982
0057987,1.32152e-06,0.197373,0.398591
0057988,1.32152e-06,0.16072,0.367699
0057989,1.32152e-06,0.120805,0.365311
0057990,1.32152e-06,0.0744542,0.388569
0057991,1.32152e-06,0.137157,0.694831
0057992,1.32152e-06,0.0598199,0.390553
0057993,1.32152e-06,0.0612136,0.321288
0057994,1.32152e-06,1.32152e-06,0.299709
0057995,1.32152e-06,1.32152e-06,0.32698
0057996,1.32152e-06,0.260007,0.367893
0057997,1.32152e-06,0.202664,0.350212
0057998,1.32152e-06,0.227261,0.366978
0057999,7.05725e-12,0.148056,0.394649
0058000,7.05725e-12,0.155243,0.358289
0058001,7.05725e-12,0.148275,0.335828
0058002,7.05725e-12,0.144914,0.352984
0058003,7.05725e-12,0.141943,0.354469
0058004,7.05725e-12,0.138478,0.341041
0058005,7.05725e-12,0.147094,0.345757
0058006,7.05725e-12,0.138806,0.325766
0058007,7.05725e-12,0.148822,0.371247
0058008,7.05725e-12,0.141912,0.35907
0058009,7.05725e-12,0.147793,0.327719
0058010,7.05725e-12,0.159779,0.309473
0058011,7.05725e-12,0.168957,0.307297
0058012,7.05725e-12,0.153758,0.339843
0058013,7.05725e-12,0.142901,0.332923
0058014,7.05725e-12,0.155937,0.366874
0058015,7.05725e-12,0.146186,0.306951
0058016,7.05725e-12,0.149247,0.292669
0058017,7.05725e-12,0.145193,0.291254
0058018,7.05725e-12,0.146113,0.299631
0058019,7.05725e-12,0.148724,0.291587
0058020,7.05725e-12,0.133375,0.298731
0058021,7.05725e-12,0.128569,0.285503
0058022,7.05725e-12,0.11834,0.330756
0058023,7.05725e-12,0.133251,0.356841
0058024,7.05725e-12,0.128906,0.32437
0058025,7.05725e-12,0.131391,0.356874
0058026,7.05725e-12,0.141809,0.382786
0058027,7.05725e-12,0.144361,0.375852
0058028,7.05725e-12,0.140934,0.296801
0058029,7.05725e-12,0.147155,0.330203
0058030,7.05725e-12,0.163143,0.371736
0058031,7.05725e-12,0.179405,0.426596
0058032,7.05725e-12,0.174488,0.362769
0058033,7.05725e-12,0.182449,0.32208
0058034,7.05757e-12,0.172757,0.303675
0058035,7.95099e-10,0.202927,0.307991
0058036,3.62592e-05,0.167232,0.294835
0058037,0.0305568,0.188047,0.294813
0058038,0.471651,0.633863,0.301944
0058039,0.133339,0.274215,0.292466
0058040,0.000690419,0.13575,0.313712
0058041,6.54845e-08,0.150749,0.36056
0058042,7.17099e-12,0.16317,0.339446
0058043,7.05725e-12,0.158465,0.34152
0058044,7.05725e-12,0.146657,0.360703
0058045,7.05725e-12,0.142276,0.328292
0058046,7.05725e-12,0.122555,0.325322
0058047,7.05725e-12,0.0956829,0.338535
0058048,7.05725e-12,0.144495,0.31944
0058049,7.05725e-12,0.0756743,0.354398
0058050,7.05725e-12,0.0834393,0.326431
0058051,7.05725e-12,0.0734292,0.366172
0058052,7.05725e-12,0.121926,0.646132
0058053,7.05725e-12,0.0714078,0.415868
0058054,7.05725e-12,0.044099,0.268236
0058055,7.05725e-12,0.0158954,0.285157
0058056,7.05725e-12,7.05725e-12,0.249362
0058057,7.05725e-12,0.0774929,0.28844
0058058,7.05725e-12,0.119766,0.292224
0058059,7.05725e-12,0.0547626,0.276746
0058060,6.90273e-19,0.153139,0.297798
0058061,6.90273e-19,0.147683,0.350655
0058062,6.90273e-19,0.147461,0.312505
0058063,6.90273e-19,0.132366,0.304099
0058064,6.90273e-19,0.137981,0.320447
0058065,6.90273e-19,0.14481,0.321439
0058066,6.90273e-19,0.145793,0.316453
0058067,6.90273e-19,0.129011,0.293201
0058068,6.90273e-19,0.137363,0.312564
0058069,6.90273e-19,0.14968,0.295387
0058070,6.90273e-19,0.124317,0.271529
0058071,6.90273e-19,0.138943,0.267173
0058072,6.90273e-19,0.126429,0.257062
0058073,6.90273e-19,0.137672,0.261714
0058074,6.90273e-19,0.13944,0.0977155
0058075,6.90273e-19,0.139325,0.0964703
0058076,6.90273e-19,0.130752,0.101294
0058077,6.90273e-19,0.148845,0.102482
0058078,6.90273e-19,0.144837,0.0991707
0058079,6.90273e-19,0.129098,0.0957613
0058080,6.90273e-19,0.149285,0.180416
0058081,6.90273e-19,0.13269,0.0981744
0058082,6.90273e-19,0.144511,0.106229
